year,value,units,accommodation_type,occupancy_type,weekday_weekend,size_of_accommodation,location,is_accessible,is_urban
2016,53.44,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2012,24.77,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2017,37.83,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2017,31.96,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2013,26.46,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2018,44.42,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2012,41.47,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2013,42.04,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2013,50.17,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2015,49.55,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2016,45.46,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2018,37.66,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2015,57.27,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2016,39.01,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2013,38.04,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2014,42.14,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2012,38.13,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2015,41.9,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2016,42.66,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2017,28.19,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2019,47.1,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2012,52.66,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2012,47.69,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2019,55.5,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2015,50.89,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2014,29.0,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2011,40.5,Percentage,Hotels , Bed Occupancy,All,Rooms: 04-10,All,False,False
2015,50.42,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2016,52.02,Percentage,Hotels , Bed Occupancy,All,Rooms: 26-50,All,False,False
2019,47.25,Percentage,Hotels , Bed Occupancy,All,Rooms: 11-25,All,False,False
2011,49.58,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2018,47.18,Percentage,Hotels , Bed Occupancy,All,All,Remote Rural,False,False
2011,36.69,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2013,39.75,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Rural,False,False
2015,34.83,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2011,25.32,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2011,45.62,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2018,27.9,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Rural,True,False
2016,29.78,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2016,58.9,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2019,30.04,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2017,32.19,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2011,61.31,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Large Urban Areas,True,True
2018,53.78,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2013,34.06,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2016,78.32,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2018,74.32,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2016,69.8,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2015,51.36,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,65.06,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2017,72.75,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2014,70.65,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2014,64.47,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2012,65.13,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2017,68.32,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2011,73.89,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2015,78.25,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2015,67.04,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2012,73.69,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2019,68.74,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2017,79.22,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2013,64.72,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2019,78.38,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2019,74.36,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2018,48.69,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2012,65.87,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2012,44.66,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2014,45.45,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2014,57.32,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2018,22.44,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2011,43.54,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2012,44.51,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2018,51.0,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2017,26.98,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2011,46.24,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2019,50.93,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2018,71.98,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2015,58.04,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2015,46.48,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2011,42.53,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2015,62.74,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2017,56.39,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,58.53,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2013,45.64,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2019,22.0,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2013,56.4,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2017,25.81,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2016,69.43,Percentage,Hostels , Bed Occupancy,Weekday,All,All,False,False
2011,58.47,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2011,56.48,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2015,61.02,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2017,56.38,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2016,63.91,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2011,56.2,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2015,51.44,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2019,81.98,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2012,55.47,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2015,63.28,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2011,74.05,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2015,62.81,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2018,75.68,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2016,64.4,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2014,66.07,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2017,63.91,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2012,62.11,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2014,58.26,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2013,69.36,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2012,56.59,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2012,35.58,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2013,57.85,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2016,57.26,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2018,67.65,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2013,59.23,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2013,68.3,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2015,67.13,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2014,62.76,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2016,76.57,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2011,61.13,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2014,78.64,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2013,76.19,Percentage,Hotels , Room Occupancy,All,Rooms: greater than 100,All,False,False
2013,24.37,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2015,79.92,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2017,80.0,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2017,64.58,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2012,33.44,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,35.18,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2015,70.09,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2014,44.13,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2016,70.85,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2013,37.4,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2019,62.96,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2019,75.57,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2012,39.57,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2011,45.87,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2018,47.18,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2016,76.6,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2013,41.97,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2019,37.09,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2018,38.3,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2014,42.16,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2015,43.75,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2017,50.56,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2016,40.04,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2011,54.17,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2014,49.17,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2016,46.78,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2017,31.42,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2017,44.86,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2014,64.86,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2019,38.77,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2015,45.58,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2018,69.36,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2013,47.1,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2011,62.82,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2012,62.44,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2011,40.18,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2018,56.22,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2019,49.3,Percentage,Guest House/B&B , Bed Occupancy,Weekend,All,All,False,False
2015,50.81,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2015,67.12,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2016,57.31,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2013,54.93,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2011,52.97,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2019,54.98,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2013,46.82,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2017,60.14,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2017,55.87,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2012,45.48,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2014,66.89,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2013,66.01,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2015,65.03,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2018,52.55,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2014,55.6,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2019,56.02,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2013,65.27,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2019,70.24,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2015,54.63,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2016,73.94,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2018,28.79,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2012,46.03,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2014,49.65,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2016,51.72,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2017,74.07,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2018,41.33,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2019,72.51,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2019,41.32,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2012,67.27,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2014,72.27,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2013,36.37,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2017,41.29,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2019,49.13,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2017,53.96,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2014,37.75,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2011,35.32,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2015,73.06,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2015,50.3,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2013,70.82,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2012,37.88,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2013,48.97,Percentage,Hotels , Bed Occupancy,Weekday,All,All,False,False
2018,36.59,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2011,42.93,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2012,52.29,Percentage,Hotels , Bed Occupancy,Weekend,All,All,False,False
2015,32.08,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2012,35.91,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2012,57.81,Percentage,Hostels , Bed Occupancy,Weekend,All,All,False,False
2016,45.76,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2012,48.56,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekend,All,All,False,False
2016,68.51,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2017,71.03,Percentage,Hotels , Room Occupancy,Weekend,All,All,False,False
2014,48.86,Percentage,Guest House/B&B , Room Occupancy,Weekend,All,All,False,False
2016,41.36,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2011,66.94,Percentage,Hotels , Room Occupancy,Weekday,All,All,False,False
2014,36.43,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2011,33.02,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2016,33.42,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2016,34.09,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2013,38.23,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2017,50.44,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2019,30.3,Percentage,Caravan & Camping Parks , Pitch Occupancy,Weekday,All,All,False,False
2015,37.82,Percentage,Guest House/B&B , Bed Occupancy,Weekday,All,All,False,False
2018,49.92,Percentage,Guest House/B&B , Room Occupancy,Weekday,All,All,False,False
2011,30.01,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2011,52.1,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2013,44.96,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2019,64.7,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2013,38.57,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2018,43.25,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2014,62.95,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2013,55.55,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2017,39.6,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2015,62.47,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2015,53.17,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2019,60.19,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2011,36.48,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2014,38.15,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2014,35.24,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2012,35.49,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2011,39.26,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2016,31.17,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,58.03,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2016,65.52,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2019,42.21,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2012,36.28,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2012,52.36,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2012,38.69,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2016,36.83,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2017,53.8,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2019,30.1,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2014,45.23,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2013,43.97,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2011,41.65,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2014,40.11,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2016,34.72,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2018,55.1,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2011,49.96,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2014,31.12,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,44.84,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,26.65,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2017,59.7,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2015,34.79,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2017,35.64,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2013,33.56,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2018,34.64,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,51.71,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2011,39.23,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2011,44.33,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2018,59.31,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2012,58.59,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2016,64.46,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2015,44.95,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,58.66,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2018,77.98,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2013,78.38,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2018,74.88,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2017,54.13,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2011,59.58,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2014,69.68,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2012,34.77,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2014,43.73,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2019,44.09,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2017,39.28,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2018,44.47,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2019,44.83,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2019,44.34,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2014,80.51,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2017,75.04,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2011,34.81,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2012,58.43,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2019,63.94,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2012,74.99,Percentage,Hotels , Room Occupancy,All,All,Large Urban Areas,True,True
2017,61.5,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2018,55.76,Percentage,Hostels , Bed Occupancy,All,All,Accessible Rural,True,False
2013,61.65,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2013,60.21,Percentage,Hotels , Room Occupancy,All,All,Accessible Small Towns,True,False
2012,40.13,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2019,51.15,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2015,32.49,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2016,45.4,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2019,65.67,Percentage,Hotels , Room Occupancy,All,All,Accessible Rural,True,False
2018,60.77,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2014,37.05,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2016,65.78,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2011,36.27,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2018,60.77,Percentage,Hotels , Room Occupancy,All,All,Remote Small Towns,False,False
2014,60.58,Percentage,Hotels , Room Occupancy,All,All,Remote Rural,False,False
2013,40.99,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2015,41.94,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2014,47.12,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2014,37.17,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2015,43.87,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2013,59.98,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2012,56.89,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2019,57.36,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2011,36.7,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2014,25.87,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2014,62.63,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2018,76.36,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2014,50.35,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2015,40.48,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,All,False,False
2014,73.35,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2013,37.48,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2016,30.46,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2014,41.4,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2017,0.0,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
